Sample	Project_dir
20-006-007	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-0006-007re/20200611_1819_X2_FAN33845_b473e9f9
20-006-001	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-001/20200311_1758_X1_FAN13265_25211c8c
20-006-002	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-002/20200311_1800_X2_FAN12672_e71a4f80
20-006-003	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-003/20200311_1803_X3_FAN12669_c10ba93a
20-006-004	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-004/20200311_1805_X4_FAM97143_02bf2121
20-006-005	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-005/20200311_1807_X5_FAM97378_f93a53e9
20-006-006	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-006/20200316_1708_X1_FAM95953_c197bed3
20-006-006	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-006-re/20200611_1814_X1_FAN36280_24f451f5
20-006-007	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-007/20200316_1710_X2_FAN02042_55ba7f15
20-006-008	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-008/20200316_1712_X3_FAN01576_487e9d87
20-006-009	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-009/20200119_1739_X4_FAL25215_19c41bdb
20-006-010	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-010/20200119_1742_X5_FAL33188_168a8848
20-006-011	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-011/20200316_1717_X4_FAM97270_c00a3fcf
20-006-012	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-012/20200316_1717_X5_FAM97482_6bdfcf0f
20-006-013	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-013/20200324_1658_X1_FAN02181_cfb4d43f
20-006-014	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-014/20200324_1701_X2_FAN02179_439ee001
20-006-014	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-014re/20200611_1824_X3_FAN33885_173836b2
20-006-015	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-015/20200324_1703_X3_FAN14832_2be8097d
20-006-016	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-016/20200324_1706_X4_FAN14829_6102cf1b
20-006-017	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-017/20200324_1709_X5_FAN14950_1ea69de8
20-006-018	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-018/20200330_1638_X1_FAN14835_a7b6b60b
20-006-019	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-019/20200330_1640_X2_FAN13389_7129e50f
20-006-020	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-020/20200330_1643_X3_FAN14795_3ef65988
20-006-020	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-020re/20200611_1829_X4_FAN33732_6197b857
20-006-021	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-021/20200330_1645_X4_FAM97236_dc208e7a
20-006-022	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-022/20200330_1647_X5_FAN14910_dd70129d
20-006-023	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-023/20200406_1840_X1_FAN14811_a24dff07
20-006-024	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-024/20200406_1840_X2_FAN01559_472bb8c0
20-006-025	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-025/20200406_1841_X3_FAM97711_8b3d8c2e
20-006-025	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-025re/20200611_1840_X5_FAN33399_f54d6a03
20-006-026	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-026/20200406_1841_X4_FAN12631_efcce5fc
20-006-027	/home/groupdirs/epibiocore/oreo/keithhenry/20-006/20-006-027/20200406_1842_X5_FAN14882_932f69c7
